Feature,Random Forest,XGBoost,Linear Regression
https,0.812995307,0.9858911,0.346213492
numchar_classification,0.050555609,0.000579519,0.059800746
count_double_slash,0.046898031,0.001056731,0.117021284
count_sensitive_words,0.028795307,0.004325166,0.064722597
count_specialchar,0.024025404,0.000532222,0.000909519
count_dash_symbol,0.01074366,0.00051872,0.006331731
url_length,0.009209514,0.000987226,0.010660486
contains_ip_address,0.006554649,0.000479349,0.07643293
url_entropy,0.003137255,0.000151677,0.004929144
count_multiple_subdomains,0.003108515,0.000427965,0.010075869
has_at_symbol,0.002127417,0.001502697,0.10656292
using_shortener,0.001849331,0.003547634,0.19633928
